,classifier,feature count,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
10,SGD,6,17.166252899169923,1.5556957183080482,0.6996413230895996,0.007560567937400643,0.9272690656201732,0.03628640535734891,0.9274530617689603,0.03620307477682847,0.9261005740470709,0.03637891236429574,0.9254782742142831,0.03739601483717509
11,SVC,6,18.533007907867432,0.05531915360795871,102.70344643592834,2.706006341029292,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
12,AdaBoost,25,18.38881435394287,0.10778833756617949,5.6689581871032715,0.018413292832687778,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
13,BernoulliNB,25,0.7278308391571044,0.01628903953189966,1.0454638004302979,0.007644010977434344,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
14,DecisionTree,25,1.5793745517730713,0.02914647017840562,0.7149889945983887,0.007935585034459607,0.9998710359251787,1.2388721085985933e-05,0.9998739828286164,1.2165869383931978e-05,0.9998672942167197,1.2744736467126184e-05,0.9998706143424739,1.2457637494261225e-05
15,ExtraTrees,25,11.8224515914917,0.15830846516768524,4.617370653152466,0.032680328158121275,0.991183143767229,0.0009306349920645095,0.991197663929696,0.0009199952536055988,0.9909244910424435,0.0009579341715889627,0.9910026425842717,0.0009573787799392845
16,GaussianNB,25,0.7532769203186035,0.01357119472132023,1.751792812347412,0.013957656933465578,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
17,GradientBoosting,25,784.9085680007935,39.6395005758197,8.870903301239014,0.28355454241948963,0.999842213008743,1.5262751500696247e-05,0.9998438192569793,1.6073985428919522e-05,0.9998403452894451,1.4520031868713406e-05,0.9998420733233664,1.5286853486022893e-05
18,KNeighbors,25,0.6433022499084473,0.08542119277397825,2949.947181224823,77.49980565775505,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
19,LinearSVC,25,24.694769620895386,0.8065709073592727,0.6924543857574463,0.008416655658358103,0.9870027123103414,0.01318616181029376,0.9871888056702112,0.013031480551338027,0.9868565909949856,0.013136298933241898,0.9868901212730513,0.013274584680156742
20,RadiusNeighbors,25,0.5145442962646485,0.015408507188060359,1058.983663225174,1.490048871276927,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
21,RandomForest,25,23.845401334762574,0.2864894202848261,4.79613995552063,0.028300462790915457,0.9981276190053876,0.0005349710200289593,0.998092499161538,0.000542190923942543,0.9980726942289555,0.0005506637222725203,0.9980759899072054,0.0005505303773375946
22,SGD,25,17.95926103591919,2.6330640649359767,0.6862725257873535,0.009313938106575671,0.9183369177216593,0.028563342214196926,0.9225492018251661,0.02568151794455572,0.9162272993351162,0.02930395786072005,0.9155997492818198,0.02977058832460569
23,SVC,25,18.385061407089232,0.06691887389388324,105.26904487609863,3.8950754855292304,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
24,AdaBoost,29,18.277914190292357,0.17222783219945179,5.574874782562256,0.017742538908496693,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
